timestamp,soil_moisture_current,soil_moisture_corrected,soil_moisture_rolling_avg,avg_error_since_last,waterings_today,threshold_prob,effective_threshold,kp_mult,ki_mult,kd_mult,kp_current,ki_current,kd_current,pulse_seconds
2026-04-18 20:45:41,50.0,45.33,49.44,0.45,0,0.75,49.7,1.0,1.0,1.0,0.009,0.0015,0.0,2.79
2026-04-20 01:21:17,40.88,38.3,49.57,1.86,0,0.749,49.7,0.996,0.996,0.996,0.009,0.0015,0.0,2.76
2026-04-21 05:47:32,38.52,37.75,49.04,1.41,0,0.75,49.7,1.0,1.0,1.0,0.009,0.0015,0.0,2.85
2026-04-22 15:04:12,54.51,50.62,50.67,-1.28,0,0.766,51.44,1.0,1.0,1.0,0.009,0.0015,0.0,2.92
2026-04-25 18:50:20,57.19,53.37,53.21,-6.79,0,0.792,59.5,0.939,0.939,0.939,0.0084,0.0014,0.0,3.57
2026-04-25 20:50:31,52.0,48.56,54.23,-5.32,1,0.792,59.5,0.939,0.939,0.939,0.0084,0.0014,0.0,3.41
2026-04-25 22:50:40,58.15,54.4,54.59,-4.91,2,0.792,59.5,0.939,0.939,0.939,0.0084,0.0014,0.0,3.36
2026-04-26 00:50:50,58.69,55.05,55.27,-4.57,0,0.792,59.5,0.938,0.938,0.938,0.0084,0.0014,0.0,3.25
2026-04-26 02:50:59,57.83,54.39,54.01,-5.03,1,0.792,59.5,0.939,0.939,0.939,0.0084,0.0014,0.0,3.45
2026-04-26 04:51:08,57.3,54.06,54.08,-5.04,2,0.792,59.5,0.939,0.939,0.939,0.0085,0.0014,0.0,3.44
2026-04-26 06:51:16,56.97,53.93,53.95,-5.26,3,0.792,59.5,0.939,0.939,0.939,0.0085,0.0014,0.0,3.46
2026-04-26 08:51:25,58.37,55.4,55.55,-4.19,4,0.792,59.5,0.939,0.939,0.939,0.0085,0.0014,0.0,3.21
2026-04-29 16:40:03,62.66,61.96,61.73,-1.2,0,0.036,62.2,1.33,1.33,1.33,0.012,0.002,0.0,3.86
2026-04-29 18:40:13,63.2,62.34,62.05,-0.23,1,0.036,62.2,1.33,1.33,1.33,0.012,0.002,0.0,3.8
2026-04-29 21:15:17,62.34,61.97,62.19,0.11,2,0.036,62.2,1.33,1.33,1.33,0.012,0.002,0.0,3.77
2026-04-30 15:38:02,63.41,62.3,62.19,0.31,0,0.036,62.2,1.33,1.33,1.33,0.012,0.002,0.0,3.76
